train losses      0:	0.5607	0.5523	0.3359	0.3312	0.6659	0.7164	0.4625	0.4707	 1.521	 1.543	 1.421	 1.425	
val losses        0:	0.4751	0.4644	0.3343	0.3427	0.5637	0.6081	0.4382	0.4644	 1.511	 1.544	 1.531	 1.526	 | 0.8169 mean
                     	 1.445	 1.403	0.8837	0.8987	 1.628	 1.778	 1.204	 1.259	 4.533	 4.618	  4.37	 4.295	 | 2.881 quantile
                      	 5.285	 5.372	 3.098	 3.066	 6.164	 6.241	 3.127	 3.183	 13.75	 13.04	 9.753	  9.75	 | 13.75 max

train losses      5:	0.2817	0.2636	0.3292	0.3205	0.3759	0.3755	0.4219	0.4449	  1.02	 1.033	 1.162	 1.161	
val losses        5:	0.2617	0.2564	 0.332	0.3223	 0.393	0.4002	0.4095	0.4357	 1.232	 1.234	 1.408	 1.394	 | 0.6732 mean
                     	0.7141	 0.684	0.8667	0.8499	 1.064	 1.043	 1.099	 1.152	 3.465	 3.482	 3.734	 3.752	 | 2.446 quantile
                      	 13.88	 15.95	 2.812	 3.254	 16.24	  17.9	 3.635	 4.446	 30.99	 31.93	 7.746	 7.837	 | 31.93 max

train losses     10:	0.2334	0.2215	0.3215	0.3129	0.3288	0.3271	0.3776	0.4008	 0.817	0.8407	0.9247	0.9277	
val losses       10:	0.2414	0.2241	0.3334	0.3174	0.4154	0.4029	0.4045	0.4004	 1.208	 1.223	 1.419	 1.408	 | 0.6664 mean
                     	0.6294	0.5829	0.8728	0.8377	 1.053	0.9849	 1.035	  1.05	 3.375	 3.307	 3.755	 3.736	 | 2.393 quantile
                      	 18.79	 21.56	 2.858	 4.887	 20.11	 24.11	 5.575	 4.283	 51.12	 52.43	 13.54	 11.82	 | 52.43 max

train losses     15:	0.2274	0.2153	0.3194	0.3105	0.3159	0.3102	 0.366	0.3765	0.8321	0.8544	 1.106	 1.103	
val losses       15:	0.2307	0.2196	0.3308	0.3182	0.3727	0.3696	0.3729	0.3759	 1.381	 1.391	 1.421	 1.403	 | 0.6822 mean
                     	0.6075	0.5642	0.8694	0.8328	0.9549	0.9244	0.9849	0.9937	 3.632	 3.682	 3.787	 3.807	 | 2.486 quantile
                      	 20.49	 22.82	 3.027	 5.793	  22.9	 28.01	 6.952	 4.775	 52.55	 54.61	  14.9	 13.73	 | 54.61 max

train losses     20:	0.2143	0.2106	0.3144	0.3077	0.2815	 0.281	0.3322	0.3418	0.6915	0.6934	0.8306	0.8276	
val losses       20:	0.2278	 0.219	0.3332	0.3177	 0.352	0.3604	0.3643	0.3607	 1.249	 1.274	 1.533	 1.519	 | 0.6758 mean
                     	0.5858	0.5609	0.8737	0.8343	0.9196	0.8955	 0.936	0.9433	 3.427	  3.36	  4.06	 4.061	 | 2.519 quantile
                      	 21.46	 23.52	 3.222	 5.806	 25.92	 31.43	 7.761	 6.039	 56.94	 58.78	 13.37	 12.66	 | 58.78 max

train losses     25:	0.2094	0.2025	0.3129	 0.303	0.2672	0.2689	0.3212	0.3246	0.6742	  0.66	0.7201	0.7171	
val losses       25:	0.2202	0.2167	0.3333	 0.317	0.3472	0.3538	 0.362	0.3559	 1.236	 1.258	 1.495	 1.477	 | 0.6643 mean
                     	0.5754	0.5518	0.8729	0.8339	0.8987	0.8731	0.9213	0.9194	 3.419	 3.311	 3.973	 3.929	 | 2.472 quantile
                      	 21.99	 23.73	 3.578	 5.862	 27.44	 33.24	  7.74	 6.425	 56.65	 58.96	 15.38	 14.91	 | 58.96 max

train losses     30:	 0.209	0.2051	0.3121	0.2994	0.2865	0.2911	0.3165	0.3173	0.5766	0.5908	0.8646	0.8521	
val losses       30:	 0.225	0.2194	0.3317	0.3171	0.3721	0.3826	0.3839	0.3743	 1.324	 1.333	 1.422	 1.405	 | 0.6742 mean
                     	0.5851	0.5617	0.8642	0.8261	0.9289	0.9265	0.9788	0.9593	 3.577	 3.617	  3.82	 3.809	 | 2.488 quantile
                      	 22.29	 24.42	 4.544	 6.837	 27.57	 33.81	 6.486	 6.196	 56.23	 58.42	 12.79	 12.15	 | 58.42 max

train losses     35:	0.2109	 0.195	0.3092	0.2961	0.3013	0.2958	0.3194	0.3146	0.5301	 0.532	0.5508	0.5521	
val losses       35:	0.2226	0.2098	0.3307	0.3142	 0.374	0.3738	0.3721	0.3641	 1.278	 1.305	 1.469	  1.46	 | 0.6727 mean
                     	0.5729	0.5301	0.8621	0.8228	0.9562	0.9196	0.9484	0.9334	 3.582	 3.466	 3.787	 3.773	 | 2.489 quantile
                      	 22.72	  25.3	 4.986	 7.967	 28.16	 34.35	 6.019	 5.155	 60.52	 62.69	 16.58	 15.71	 | 62.69 max

train losses     40:	0.2135	0.2016	0.3078	 0.296	0.2705	0.2719	0.3092	0.2984	0.6855	0.6895	0.4763	0.4741	
