train losses      0:	0.5477	 0.583	0.3369	0.3279	0.6946	0.7426	0.4615	0.4685	 1.526	 1.552	 1.419	 1.427	
val losses        0:	 0.472	 0.502	0.3358	0.3288	0.6753	0.7189	0.4389	0.4456	 1.568	  1.61	 1.524	 1.505	 | 0.8437 mean
                     	  1.46	 1.532	0.8896	0.8713	 2.002	  2.11	 1.218	 1.203	  4.62	   4.7	 4.355	 4.294	 | 2.978 quantile
                      	 6.402	  6.39	 3.068	 2.883	 7.226	 7.171	 3.171	  3.05	 14.07	 13.05	 9.801	 9.688	 | 14.07 max

train losses      5:	0.3011	0.2878	0.3382	0.3328	0.3855	0.4041	0.4505	0.4481	0.7609	0.7715	 1.084	 1.086	
val losses        5:	0.2848	0.2776	0.3385	0.3297	0.4076	0.4153	0.4256	 0.428	0.9071	0.9052	 1.297	 1.283	 | 0.6083 mean
                     	 0.768	0.7574	 0.893	0.8765	 1.109	 1.128	 1.165	 1.152	 2.347	 2.372	 3.555	 3.482	 | 2.038 quantile
                      	 3.337	 2.661	 3.313	 2.819	 3.464	 3.291	 2.911	 2.762	 6.476	 6.286	 6.986	 6.756	 | 6.986 max

train losses     10:	0.2693	0.2555	0.3308	0.3254	0.3427	0.3521	0.4304	0.4265	0.6282	0.6454	0.9084	0.9087	
val losses       10:	0.2665	0.2597	0.3329	0.3253	0.3952	0.3949	0.4206	0.4161	 1.026	 1.031	 1.593	 1.585	 | 0.6705 mean
                     	0.7188	0.6954	0.8727	0.8613	 1.055	 1.069	 1.128	 1.118	 2.779	 2.709	 4.049	 4.056	 | 2.414 quantile
                      	 3.183	 2.569	 3.287	 2.845	 3.186	  3.14	 2.728	 2.621	 7.607	 7.541	 6.497	 6.725	 | 7.607 max

train losses     15:	0.2588	 0.246	0.3269	0.3207	0.3229	0.3293	 0.402	0.3964	0.6773	0.6734	0.7599	0.7634	
val losses       15:	0.2634	0.2585	0.3314	0.3244	0.3937	0.3939	 0.395	 0.393	0.9706	0.9576	 1.305	 1.297	 | 0.6069 mean
                     	0.6945	 0.695	0.8679	0.8583	  1.05	 1.052	 1.057	 1.049	 2.552	  2.46	 3.515	 3.478	 | 2.083 quantile
                      	 3.229	 2.662	 3.295	 2.913	 2.933	 3.357	 2.446	 2.397	 6.704	 5.932	  6.44	  6.54	 | 6.704 max

train losses     20:	0.2445	0.2354	0.3225	0.3187	0.2992	0.3018	0.3685	0.3652	0.5222	0.5434	0.6695	 0.678	
val losses       20:	0.2542	  0.25	0.3294	0.3213	0.3799	0.3799	0.3804	0.3812	0.9107	0.9088	  1.32	 1.312	 | 0.594 mean
                     	0.6647	0.6733	0.8628	 0.844	 1.012	 1.016	 1.008	0.9979	 2.385	 2.365	 3.603	 3.593	 | 2.001 quantile
                      	 2.942	 2.457	 3.269	 2.889	 3.038	 3.276	 2.227	 2.142	 5.755	 5.367	  6.51	 6.465	 | 6.51 max

train losses     25:	0.2438	0.2327	0.3199	0.3181	0.2856	0.2847	0.3769	0.3847	0.6202	0.6568	0.6969	0.6971	
val losses       25:	0.2497	 0.246	0.3302	0.3232	0.3828	0.3884	0.3983	0.4036	 1.037	  0.99	  1.48	  1.48	 | 0.6423 mean
                     	0.6649	0.6581	 0.863	0.8513	 1.013	 1.051	 1.068	 1.035	 2.812	 2.667	 3.853	 3.808	 | 2.305 quantile
                      	 2.662	 2.268	 3.076	 2.946	 3.099	 3.206	 2.233	 2.285	  6.65	 6.387	 7.387	 7.316	 | 7.387 max

train losses     30:	 0.234	0.2269	0.3161	0.3093	0.2666	0.2689	0.3288	0.3249	0.4675	0.4667	0.4764	0.4787	
val losses       30:	0.2453	0.2444	0.3285	0.3194	0.3741	0.3741	0.3673	0.3715	 0.973	0.9726	 1.332	 1.325	 | 0.6022 mean
