train losses      0:	1.259	0.5345	0.556	0.5655	0.337	0.3361	0.699	0.7332	0.4606	0.4762	1.575	1.598	1.465	1.459	

val losses        0:	0.7181	0.5542	0.5729	0.5834	0.3381	0.3896	0.7643	0.7709	0.4488	0.4766	1.539	1.571	1.493	1.479	 | 0.8356 mean
                     	1.77	1.526	1.772	1.775	0.8885	0.9707	2.191	2.296	1.247	1.279	4.117	4.285	4.261	4.222	 | 2.777 quantile
                      	4.49	5.733	7.518	8.608	3.779	3.273	6.755	6.881	4.055	4.089	12.74	13.05	9.808	9.825	 | 13.05 max

train losses      1:	0.7179	0.5313	0.515	0.5344	0.3375	0.3382	0.7019	0.7288	0.4625	0.47	1.569	1.591	1.465	1.455	
train losses      2:	0.6717	0.5252	0.4641	0.4818	0.3385	0.3333	0.6703	0.7075	0.465	0.465	1.535	1.563	1.449	1.448	
train losses      3:	0.6509	0.5196	0.4104	0.4203	0.3374	0.3487	0.6056	0.6385	0.4719	0.4635	1.431	1.475	1.429	1.435	
train losses      4:	0.6729	0.5172	0.3755	0.3869	0.3375	0.3524	0.5196	0.5675	0.4722	0.4633	1.314	1.348	1.384	1.392	
train losses      5:	0.6605	0.5227	0.3484	0.3672	0.3385	0.3353	0.4541	0.5056	0.4652	0.4605	1.252	1.271	1.326	1.328	
train losses      6:	0.6529	0.5157	0.312	0.3351	0.3374	0.3291	0.4203	0.4569	0.456	0.4582	1.223	1.236	1.294	1.288	
train losses      7:	0.6454	0.502	0.299	0.3083	0.3371	0.3281	0.4075	0.4252	0.4526	0.4562	1.193	1.21	1.268	1.26	
train losses      8:	0.6767	0.4913	0.2898	0.2889	0.3358	0.3272	0.398	0.4091	0.4489	0.4512	1.164	1.177	1.237	1.231	
train losses      9:	0.6341	0.4835	0.2825	0.2794	0.336	0.3265	0.3861	0.4003	0.4466	0.4475	1.14	1.154	1.219	1.213	
train losses     10:	0.6195	0.4744	0.2786	0.2697	0.3354	0.3262	0.3789	0.39	0.4439	0.4454	1.103	1.123	1.212	1.205	

val losses       10:	0.6186	0.4914	0.2912	0.2781	0.3365	0.3254	0.4128	0.4212	0.4339	0.4457	1.24	1.263	1.351	1.338	 | 0.6605 mean
                     	1.514	1.347	0.7971	0.7575	0.8796	0.8534	1.096	1.14	1.19	1.195	3.327	3.397	3.672	3.679	 | 2.254 quantile
                      	4.219	4.878	3.499	2.957	3.457	3.127	2.96	2.893	3.812	3.533	7.13	7.282	7.859	7.979	 | 7.979 max

train losses     11:	0.6155	0.464	0.2803	0.2678	0.3354	0.3255	0.3786	0.391	0.4439	0.4458	1.108	1.116	1.2	1.194	
train losses     12:	0.6239	0.4533	0.2748	0.2628	0.3351	0.3249	0.3736	0.3867	0.4415	0.443	1.069	1.086	1.17	1.163	
train losses     13:	0.6091	0.4424	0.2702	0.2613	0.3352	0.3243	0.3707	0.3823	0.4399	0.4413	1.074	1.093	1.155	1.149	
train losses     14:	0.5993	0.4304	0.2666	0.2579	0.3351	0.324	0.3668	0.3784	0.4381	0.439	1.028	1.038	1.132	1.125	
train losses     15:	0.6125	0.418	0.2686	0.258	0.3344	0.3239	0.3685	0.3804	0.4365	0.4373	1.028	1.041	1.114	1.108	
train losses     16:	0.6203	0.4098	0.2635	0.2537	0.3337	0.3231	0.3654	0.3741	0.4343	0.4351	1.04	1.047	1.083	1.079	
train losses     17:	0.6131	0.3995	0.2564	0.2474	0.333	0.3225	0.3669	0.3787	0.4339	0.4331	1.03	1.045	1.068	1.062	
train losses     18:	0.6109	0.3935	0.2571	0.2482	0.3322	0.3223	0.3622	0.3712	0.4335	0.4321	0.9725	0.9851	1.06	1.055	
train losses     19:	0.6107	0.3863	0.2564	0.2501	0.3314	0.3224	0.3582	0.3686	0.4311	0.4297	0.9368	0.9458	1.042	1.039	
train losses     20:	0.6046	0.381	0.2498	0.2438	0.3306	0.3216	0.3558	0.3653	0.4283	0.4264	0.9334	0.9499	1.003	0.9986	

val losses       20:	0.5993	0.4062	0.2646	0.2551	0.3317	0.3228	0.4016	0.4033	0.4262	0.436	1.27	1.301	1.395	1.39	 | 0.6574 mean
                     	1.482	1.1	0.7128	0.68	0.8687	0.8471	1.061	1.062	1.17	1.17	3.319	3.405	3.704	3.7	 | 2.295 quantile
                      	3.996	2.939	2.918	2.992	3.399	3.178	2.877	2.639	3.632	3.457	7.403	7.508	7.605	7.556	 | 7.605 max

