train losses      0:	 1.004	0.5468	0.5432	0.5652	0.3354	0.3404	0.7145	0.7535	0.4683	0.4698	 1.562	 1.576	 1.501	 1.497	

val losses        0:	0.6798	0.4716	0.4309	0.4932	0.3349	0.3139	 0.591	0.6624	0.4167	0.4168	 1.589	 1.649	 1.181	 1.182	 | 0.7437 mean
                     	 1.637	 1.266	 1.343	 1.514	0.8486	 0.826	 1.792	 1.911	 1.132	 1.106	 4.551	 4.747	 3.313	 3.148	 | 2.534 quantile
                      	 5.167	 4.796	 5.755	 6.118	 3.084	  3.23	 4.735	 5.846	 3.051	  3.26	  8.52	 8.111	 6.832	 6.554	 | 8.52 max

train losses      1:	0.6753	0.5376	0.4741	0.4969	0.3348	0.3295	0.6974	0.7381	  0.46	0.4669	 1.547	 1.559	  1.49	 1.488	
train losses      2:	0.6561	0.5287	0.3936	0.3937	0.3359	0.3307	0.6147	0.6686	0.4545	0.4611	 1.462	 1.463	 1.467	 1.468	
train losses      3:	 0.642	 0.522	0.3395	 0.323	0.3384	 0.331	0.5396	0.5679	  0.45	0.4579	 1.306	 1.313	 1.404	 1.404	
train losses      4:	0.6359	0.5154	0.3179	0.3034	0.3351	 0.328	0.4635	 0.491	0.4471	0.4578	 1.238	 1.258	 1.339	 1.338	
train losses      5:	 0.611	0.4936	0.3047	0.2835	0.3333	0.3255	0.4188	0.4357	0.4422	0.4514	 1.193	 1.212	 1.308	 1.303	
train losses      6:	0.6138	0.4747	0.2941	0.2746	0.3325	0.3246	0.3988	0.4129	0.4388	0.4464	 1.168	 1.187	 1.278	 1.274	
train losses      7:	0.6037	0.4553	0.2894	0.2669	0.3314	0.3229	0.3919	0.4005	0.4351	0.4426	  1.15	 1.167	 1.255	 1.249	
train losses      8:	0.6072	0.4353	0.2851	0.2622	0.3311	0.3217	0.3907	 0.399	0.4309	0.4392	 1.118	 1.137	 1.229	 1.223	
train losses      9:	0.6035	0.4172	0.2739	0.2558	0.3302	 0.321	0.3811	0.3891	 0.429	 0.438	 1.105	 1.122	 1.216	 1.212	
train losses     10:	0.6071	0.4028	0.2678	0.2502	0.3301	0.3205	0.3745	0.3824	0.4283	 0.436	 1.068	 1.085	 1.207	 1.202	

val losses       10:	0.6151	0.3675	0.2416	0.2303	0.3291	0.3036	0.3741	0.3893	0.3903	0.3934	 1.242	 1.272	 1.194	 1.194	 | 0.6097 mean
