train losses      0:	 1.004	0.5468	0.5432	0.5652	0.3354	0.3404	0.7145	0.7535	0.4684	0.4698	 1.562	 1.576	 1.501	 1.497	
val losses        0:	0.6798	0.4716	0.4309	0.4933	0.3349	0.3139	 0.591	0.6624	0.4167	0.4168	 1.589	 1.649	 1.181	 1.182	 | 0.7438 mean
                     	 1.637	 1.266	 1.345	 1.515	0.8491	0.8267	 1.793	 1.912	 1.132	 1.106	 4.552	 4.747	 3.312	 3.147	 | 2.534 quantile
                      	 5.163	 4.798	 5.756	 6.121	 3.087	 3.231	 4.736	 5.845	 3.048	 3.258	  8.52	 8.111	 6.836	 6.554	 | 8.52 max

train losses      1:	0.6753	0.5377	0.4741	 0.497	0.3348	0.3295	0.6975	0.7381	  0.46	0.4669	 1.547	 1.559	  1.49	 1.488	
val losses        1:	0.6865	  0.46	0.3565	0.3947	0.3358	0.3125	0.5612	0.6391	0.4116	0.4147	  1.56	 1.611	 1.171	 1.171	 | 0.7204 mean
                     	 1.664	 1.222	 1.034	  1.16	0.8461	0.8256	  1.69	 1.837	 1.115	 1.103	 4.487	 4.622	 3.323	 3.176	 | 2.48 quantile
                      	  5.01	 4.531	 5.101	 4.606	 3.198	 3.093	 4.788	  5.77	 3.154	  3.21	 8.407	 7.974	 6.796	 6.694	 | 8.407 max

train losses      2:	0.6357	0.5279	0.3931	0.3923	 0.336	0.3302	0.6164	 0.671	0.4539	 0.461	 1.463	 1.466	 1.465	 1.467	
val losses        2:	0.6906	0.4546	0.3215	0.3194	0.3399	0.3187	0.5016	0.5487	0.4108	 0.415	 1.395	 1.411	 1.166	 1.161	 | 0.6753 mean
                     	 1.641	 1.195	0.8628	0.8865	0.8607	0.8204	 1.422	 1.563	 1.108	 1.095	 4.085	 4.034	 3.252	 3.115	 | 2.287 quantile
                      	 4.975	 4.382	 3.415	 3.025	 3.311	 3.024	 4.183	 4.802	 3.101	 3.073	 7.282	 7.047	 7.087	 6.847	 | 7.282 max

train losses      3:	0.6458	0.5218	0.3367	0.3271	0.3374	0.3319	0.5514	0.5787	0.4464	0.4556	 1.317	 1.316	   1.4	 1.401	
val losses        3:	 0.672	0.4516	0.2909	0.2812	0.3383	0.3138	0.4534	 0.497	0.4113	0.4157	 1.289	 1.313	 1.184	 1.176	 | 0.6491 mean
                     	 1.603	 1.194	0.7917	0.7604	0.8551	0.8272	 1.273	 1.373	 1.097	 1.078	 3.513	 3.561	 3.123	  3.04	 | 2.172 quantile
                      	 4.542	  4.42	 3.035	 2.105	 3.427	 3.047	 3.583	  4.51	 2.893	 2.928	 6.552	 6.424	 7.578	 6.889	 | 7.578 max

train losses      4:	0.6413	0.5162	0.3188	0.3002	 0.335	0.3291	0.4643	 0.493	  0.45	0.4589	 1.233	 1.255	 1.325	 1.323	
val losses        4:	0.6643	0.4359	0.2769	0.2686	0.3345	0.3135	0.4102	0.4393	0.4122	0.4161	 1.249	 1.281	 1.229	  1.23	 | 0.64 mean
                     	 1.584	 1.144	 0.754	0.7175	0.8481	0.8199	 1.152	  1.19	  1.09	 1.085	 3.364	 3.418	 3.345	  3.18	 | 2.164 quantile
                      	 4.698	 4.039	  2.71	 2.102	 3.303	 3.001	   3.2	 3.803	 2.828	 2.756	 7.038	 6.767	 6.611	 6.112	 | 7.038 max

train losses      5:	0.6194	0.4925	0.3048	 0.288	0.3328	0.3258	0.4179	0.4334	0.4436	0.4494	 1.192	 1.211	 1.297	 1.293	
val losses        5:	 0.637	0.4206	0.2753	0.2646	0.3329	0.3087	0.3937	0.4133	0.4076	0.4054	 1.259	 1.303	 1.203	 1.201	 | 0.6304 mean
                     	 1.516	 1.112	0.7239	0.7022	0.8452	0.8084	 1.082	  1.08	 1.063	 1.059	 3.373	 3.457	 3.145	 3.066	 | 2.134 quantile
                      	 5.033	 3.956	 2.524	 2.018	 3.224	 3.064	 2.882	 3.331	 2.859	 2.711	  6.78	  6.76	 6.159	 6.048	 | 6.78 max

train losses      6:	0.6565	0.4751	0.3011	0.2814	0.3317	0.3244	0.4057	0.4162	0.4419	0.4456	 1.169	 1.184	 1.274	 1.269	
val losses        6:	0.6722	0.4057	0.2672	0.2494	0.3324	0.3072	0.3881	0.4088	0.4052	0.4047	 1.244	 1.273	 1.226	 1.212	 | 0.6283 mean
                     	 1.602	 1.078	0.7157	0.6674	0.8389	0.8048	  1.07	 1.069	 1.069	 1.044	 3.323	 3.388	 3.134	 3.097	 | 2.12 quantile
