train losses      0:	 0.537	 0.556	0.3468	0.3416	0.6879	0.7309	0.4704	  0.47	 1.516	 1.535	 1.463	 1.463	
val losses        0:	0.4681	0.5224	0.3124	0.3018	0.5976	0.6543	0.4182	0.4244	 1.291	 1.292	 1.374	 1.374	 | 0.7526 mean
                     	 1.419	 1.547	0.7977	0.7989	 1.686	 1.944	 1.154	 1.156	  3.77	  3.74	 3.723	 3.708	 | 2.632 quantile
                      	 5.576	 6.434	 1.983	 1.825	 6.982	 6.513	 2.581	 2.309	 11.08	 10.47	 8.848	 8.669	 | 11.08 max

train losses      5:	0.3903	0.4104	0.4085	0.3968	0.4628	0.4612	0.5049	0.4984	0.7298	0.7335	 1.128	 1.135	
val losses        5:	0.2701	0.2856	0.3084	0.2894	0.3864	0.3883	0.3961	0.4044	0.8035	0.7633	 1.149	 1.143	 | 0.549 mean
                     	0.7392	0.7704	0.8074	0.7594	 1.019	 1.059	 1.064	 1.067	 2.063	 1.974	 3.203	 3.181	 | 1.809 quantile
                      	 2.415	 3.811	 2.308	 2.109	 2.372	  2.79	 2.463	 2.401	 4.255	 3.625	 4.894	  5.13	 | 5.13 max

train losses     10:	0.3531	0.3633	0.3782	0.3682	0.4098	0.4053	0.4779	0.4713	0.6391	0.6339	0.8877	0.8962	
val losses       10:	0.2499	0.2355	0.3015	0.2858	0.3541	0.3526	0.3808	 0.393	 0.753	0.7147	  1.11	 1.104	 | 0.5196 mean
                     	0.6784	0.6271	0.7761	 0.739	0.9221	 0.915	 1.008	 1.041	   2.0	 1.908	  3.01	 3.053	 | 1.71 quantile
                      	 2.566	 2.376	 2.034	 1.983	 2.198	 2.485	 2.329	  2.41	 3.898	 3.202	 5.062	 5.249	 | 5.249 max

train losses     15:	0.3302	0.3396	0.3599	0.3503	0.3798	0.3755	0.4469	0.4421	0.6257	 0.624	 0.723	0.7308	
val losses       15:	0.2392	0.2282	0.2963	 0.281	0.3332	0.3376	0.3628	0.3714	0.7326	0.6988	 1.232	 1.227	 | 0.5283 mean
                     	0.6405	0.6048	0.7564	0.7228	0.8691	0.8704	0.9764	 1.002	  1.85	 1.783	 3.252	 3.253	 | 1.787 quantile
                      	 2.484	  2.06	 1.968	 1.936	 1.976	 2.061	 2.279	 2.329	  3.85	  3.47	 5.714	 6.054	 | 6.054 max

train losses     20:	0.3204	0.3252	0.3474	0.3388	0.3605	0.3593	0.4084	0.4054	0.6227	0.6284	0.6973	0.7036	
val losses       20:	 0.236	0.2281	 0.294	0.2775	0.3164	0.3179	0.3278	 0.336	0.7277	 0.684	 1.107	 1.101	 | 0.4961 mean
                     	0.6305	0.5972	0.7506	0.7134	0.8449	0.8043	0.8742	0.8873	 1.976	  1.72	 2.815	 2.805	 | 1.662 quantile
                      	 2.521	 1.807	 1.992	 1.814	  1.79	 2.052	 2.135	 2.168	 3.692	 3.268	 5.497	 5.323	 | 5.497 max

train losses     25:	0.3062	0.3114	0.3387	0.3286	0.3441	0.3439	0.3778	0.3736	0.5137	0.5084	0.6803	 0.685	
val losses       25:	0.2315	0.2164	0.2922	0.2747	0.3243	0.3226	0.3155	 0.323	0.7282	0.6873	 1.228	 1.221	 | 0.5137 mean
                     	0.6159	 0.559	0.7432	 0.708	0.8424	0.8195	0.8364	0.8519	 1.878	 1.766	 3.246	 3.161	 | 1.799 quantile
                      	 2.603	  1.94	 2.098	 1.822	  1.78	 2.054	 2.132	 2.112	 3.881	 3.455	 5.569	 6.102	 | 6.102 max

train losses     30:	0.2995	0.3056	0.3317	0.3218	0.3262	0.3321	 0.359	0.3554	0.5092	0.5109	0.6576	0.6598	
val losses       30:	0.2268	0.2216	0.2913	0.2754	0.3088	0.3074	0.3085	0.3149	 0.761	0.7289	 1.165	 1.153	 | 0.5052 mean
                     	0.6058	0.5858	0.7416	0.7072	0.8103	0.7904	0.8216	0.8343	 1.991	 1.845	 2.957	 2.909	 | 1.751 quantile
                      	 2.625	   2.1	 2.101	 1.811	 1.775	 1.619	 2.034	 1.953	 4.032	 3.755	 5.481	 5.865	 | 5.865 max

train losses     35:	0.2937	0.2994	0.3278	0.3186	0.3219	0.3269	0.3434	 0.341	0.5849	0.5974	0.5633	0.5692	
val losses       35:	0.2324	 0.231	0.2924	0.2732	0.3107	0.3157	0.3147	0.3196	0.8172	 0.791	 1.113	 1.115	 | 0.5105 mean
