train losses      0:	 0.537	 0.556	0.3468	0.3417	 0.688	0.7309	0.4703	  0.47	 1.516	 1.535	 1.463	 1.463	
val losses        0:	0.4682	0.5212	0.3122	0.3017	0.5979	0.6544	0.4182	0.4245	 1.291	 1.292	 1.373	 1.374	 | 0.7524 mean
                     	  1.42	 1.541	0.7964	0.7993	 1.685	 1.948	 1.153	 1.156	 3.763	 3.737	 3.718	 3.704	 | 2.634 quantile
                      	 5.566	 6.444	 1.969	 1.828	  6.99	 6.525	 2.565	 2.336	 11.08	 10.47	 8.843	  8.68	 | 11.08 max

train losses      5:	0.3907	0.4098	0.4085	0.3967	0.4619	0.4611	0.5052	 0.498	0.7355	0.7392	 1.123	 1.131	
val losses        5:	 0.271	0.2852	0.3084	  0.29	0.3875	 0.388	0.3953	0.4039	0.7909	0.7503	 1.148	 1.142	 | 0.5467 mean
                     	0.7459	0.7678	0.8068	0.7614	 1.019	 1.071	 1.062	 1.065	 2.065	 1.946	 3.174	 3.177	 | 1.795 quantile
                      	 2.447	 3.758	 2.298	 2.134	 2.403	 2.769	 2.456	 2.488	 4.097	  3.62	 5.058	  5.12	 | 5.12 max

train losses     10:	0.3508	0.3623	0.3781	0.3683	0.4095	 0.405	0.4781	0.4715	0.6539	0.6463	0.8728	0.8798	
val losses       10:	0.2481	0.2353	 0.301	0.2856	0.3528	0.3527	0.3813	0.3926	0.7437	0.7059	 1.103	 1.093	 | 0.5163 mean
                     	0.6796	0.6284	0.7762	0.7373	0.9163	0.9255	 1.009	 1.043	 2.007	 1.875	  2.96	 3.019	 | 1.699 quantile
                      	 2.518	 2.381	  2.04	 1.961	 2.211	   2.4	 2.376	 2.519	 3.855	  3.34	 5.328	 5.042	 | 5.328 max

train losses     15:	0.3299	0.3405	0.3597	0.3503	0.3786	 0.374	0.4469	0.4434	0.7056	0.7014	0.7178	0.7256	
val losses       15:	0.2354	0.2289	0.2967	0.2813	0.3357	0.3412	0.3643	0.3719	0.9054	 0.877	 1.107	 1.094	 | 0.5366 mean
                     	0.6456	0.6039	0.7599	0.7321	0.8543	0.8774	0.9743	0.9962	 2.295	 2.219	 2.955	 2.976	 | 1.814 quantile
                      	 2.761	 1.978	 1.998	 1.844	 1.972	 2.125	 2.439	   2.5	 3.932	 3.944	 5.496	 5.321	 | 5.496 max

train losses      0:	0.5245	0.5447	0.3425	0.3374	0.6706	0.7119	0.4682	0.4665	 1.493	 1.505	 1.456	  1.46	
val losses        0:	0.4709	0.5033	0.3153	0.3099	0.5603	0.6025	0.4226	0.4287	 1.212	 1.201	 1.362	 1.378	 | 0.7305 mean
                     	 1.396	 1.459	   0.8	0.8258	 1.593	 1.789	 1.156	 1.175	 3.477	  3.44	 3.713	 3.725	 | 2.551 quantile
                      	 5.289	 6.159	 2.131	 1.972	 6.724	 6.171	 2.535	 2.419	 10.59	 9.812	  8.72	 8.494	 | 10.59 max

train losses      5:	 0.251	0.2567	0.3388	0.3251	0.3596	0.3548	  0.42	0.4159	 0.651	 0.645	  1.07	 1.069	
val losses        5:	0.2391	0.2312	0.3063	 0.295	0.3758	 0.365	0.3841	0.3737	0.8271	0.8279	 1.236	 1.228	 | 0.5574 mean
                     	0.6462	0.6263	0.7868	0.7451	0.9694	0.9985	0.9974	 1.026	 2.209	 2.119	  3.31	 3.231	 | 1.959 quantile
                      	 1.812	 2.619	 1.961	 2.086	 3.165	 2.595	 2.425	 2.175	 4.449	 3.387	 4.993	 5.234	 | 5.234 max

train losses     10:	0.2203	0.2195	0.3244	0.3084	0.3049	0.3011	0.3484	0.3473	0.5444	 0.534	 0.777	0.7783	
val losses       10:	0.2235	0.2102	0.2983	0.2824	0.3476	0.3477	  0.32	0.3229	0.8388	 0.835	 1.279	 1.294	 | 0.55 mean
                     	0.6012	0.5521	0.7584	0.7183	0.8851	0.9353	0.8092	0.8589	 2.241	 2.085	  3.29	 3.381	 | 1.919 quantile
                      	 2.037	 1.843	 2.177	 1.572	 2.525	 2.368	 2.332	 1.927	 4.189	 3.727	 5.784	  5.94	 | 5.94 max

train losses     15:	0.2335	0.2317	0.3196	0.3075	0.3458	0.3523	0.3379	0.3353	0.7761	0.7745	0.9068	0.9054	
val losses       15:	0.2393	0.2452	0.2997	0.2847	0.4156	0.4031	0.3222	0.3164	 1.002	0.9997	 1.217	 1.244	 | 0.5825 mean
                     	0.6339	0.6431	0.7565	0.7268	 1.036	 1.061	0.8097	0.8174	 2.428	 2.406	 3.136	 3.144	 | 2.002 quantile
                      	 2.413	 2.025	   2.2	 1.828	 2.418	 2.108	 2.248	 1.836	 4.992	 5.056	 5.397	 5.659	 | 5.659 max

train losses     20:	0.2053	0.2046	 0.308	0.2939	0.2909	0.2889	 0.302	0.2992	0.5022	0.5062	0.7136	0.7102	
val losses       20:	0.2166	0.2053	0.2983	0.2808	0.3245	0.3213	0.3241	0.3285	 0.753	0.7253	 1.232	 1.241	 | 0.5209 mean
                     	0.5686	 0.538	0.7571	0.7101	0.8395	0.8322	0.8178	0.8269	 2.013	 1.835	 3.135	 3.108	 | 1.849 quantile
                      	 2.334	 2.125	 2.235	  1.62	 2.204	 1.964	 2.578	  2.09	 3.684	 2.958	 5.848	 5.898	 | 5.898 max

train losses     25:	0.2059	0.2097	 0.302	0.2887	0.2732	0.2656	0.2887	0.2832	0.4998	0.4784	0.9862	0.9888	
val losses       25:	0.2161	0.2319	0.3008	0.2868	0.3528	0.3447	0.3332	0.3339	0.7663	0.7435	 1.446	 1.442	 | 0.5665 mean
                     	0.5635	0.5873	0.7591	0.7239	0.8834	0.8798	0.8196	0.8436	 2.017	 1.927	 3.743	 3.728	 | 2.052 quantile
                      	 2.074	 1.882	 2.192	 1.639	 2.127	  1.99	 2.426	 2.008	 3.855	  3.69	 5.509	 6.008	 | 6.008 max

train losses     30:	0.1986	0.1971	0.2979	0.2835	0.2653	0.2597	0.3132	0.3087	0.4174	0.4035	 0.563	0.5667	
val losses       30:	0.2099	0.1967	0.3065	0.2915	0.3515	0.3647	 0.369	0.3663	0.7899	0.7615	 1.081	 1.079	 | 0.514 mean
                     	0.5513	0.5201	0.7806	0.7325	0.8907	0.9501	0.9206	0.9125	 2.027	 1.945	 2.821	 2.902	 | 1.691 quantile
                      	 2.417	 2.033	 2.354	 1.841	 1.891	 1.834	 2.069	   2.0	 3.862	 3.862	 5.077	  5.18	 | 5.18 max

train losses     35:	0.1999	0.1905	0.2835	0.2686	0.2752	 0.274	0.2517	0.2465	0.3976	0.3859	0.4711	0.4759	
val losses       35:	0.2215	0.2067	0.3008	 0.288	0.3669	0.3812	0.3298	 0.325	0.7819	0.7879	 1.177	 1.178	 | 0.5287 mean
                     	0.5844	 0.543	0.7593	0.7189	0.8888	0.9417	0.8039	0.8149	 2.024	 1.969	 3.154	 3.126	 | 1.8 quantile
                      	 2.479	 2.156	 2.066	 1.675	 1.782	 1.792	 2.247	 2.124	 3.757	 3.653	 5.679	 5.698	 | 5.698 max

train losses     40:	0.1885	0.1956	  0.28	0.2675	0.2606	0.2604	0.2714	0.2694	 0.439	 0.443	0.6099	0.6291	
val losses       40:	0.2063	 0.236	0.3118	0.2964	0.3648	  0.35	 0.384	0.3624	0.7782	0.7627	 1.288	 1.315	 | 0.5547 mean
                     	0.5489	 0.583	0.7819	0.7554	0.8889	0.8555	0.9681	0.9265	 2.006	 1.965	 3.208	 3.287	 | 1.916 quantile
                      	 2.343	 1.884	 2.089	 1.721	 2.345	 1.774	 2.087	 1.795	  3.78	 3.803	 5.509	 5.347	 | 5.509 max

train losses     45:	0.1855	0.1912	0.2717	 0.256	0.2487	0.2416	0.2491	0.2436	0.4213	 0.434	0.5034	0.5104	
val losses       45:	0.2058	 0.205	0.3037	0.2852	0.3019	0.2965	0.3266	0.3267	0.7911	0.7733	 1.124	 1.117	 | 0.5047 mean
                     	0.5442	0.5342	0.7683	0.7236	0.7605	0.7733	0.8124	 0.822	 2.072	 2.032	 3.062	 3.044	 | 1.776 quantile
                      	 2.439	 2.087	 1.929	  1.68	 1.734	 1.572	  2.11	 1.995	 3.836	 4.027	  5.23	 5.219	 | 5.23 max

