train losses      0:	0.5762	  0.61	0.3787	0.3721	0.7324	0.7739	0.4789	0.4912	 1.596	 1.608	 1.501	 1.498	
val losses        0:	0.7278	 1.215	0.3082	0.3584	0.6199	 1.254	0.4198	0.3929	 1.522	 1.598	  1.12	  1.06	 | 0.883 mean
                     	 1.613	 2.015	0.7797	0.8856	 1.891	 2.502	 1.078	 1.003	 4.635	 4.652	 3.593	 3.543	 | 2.564 quantile
                      	 4.224	 4.525	 1.956	 2.189	 5.226	 7.434	 3.044	 3.524	 9.814	 8.969	 6.067	 5.986	 | 9.814 max

train losses      2:	0.5282	0.5555	0.3736	 0.364	0.7087	 0.742	0.4797	0.4892	 1.551	 1.551	 1.491	 1.486	
val losses        2:	0.4917	0.4553	0.7042	0.4815	0.6421	 1.011	0.4805	0.5824	 1.319	 1.511	 1.446	 1.256	 | 0.865 mean
                     	 1.246	 1.117	 1.375	 1.115	  1.95	 2.102	  1.15	 1.359	 4.096	 4.101	 3.605	 3.393	 | 2.52 quantile
                      	 6.024	 4.766	 3.077	  2.54	 5.132	 6.671	 3.662	 2.929	 8.398	 7.576	 6.413	   6.5	 | 8.398 max

train losses      4:	 0.515	0.5167	0.4104	0.3874	0.6924	0.7039	0.4987	0.5082	 1.427	 1.394	 1.467	 1.459	
val losses        4:	0.4369	0.6941	0.3817	0.3882	0.6133	0.5592	0.6697	0.4327	  1.06	0.9636	 1.009	 1.024	 | 0.686 mean
                     	 1.121	  1.31	 1.018	0.9882	 1.809	  1.47	 1.383	  1.13	 3.244	 2.863	 3.263	 3.256	 | 2.004 quantile
                      	 4.853	 4.507	 3.038	  2.25	 4.713	 5.727	 4.511	 3.656	 6.355	 5.661	 5.477	 5.515	 | 6.355 max

train losses      6:	0.5432	0.5148	0.4813	0.4357	0.6744	0.6815	0.5284	0.5584	 1.211	 1.149	 1.391	 1.393	
val losses        6:	0.4897	0.2875	0.4154	0.3496	0.5669	0.5074	0.5523	0.4276	0.8446	0.8109	 1.015	 1.098	 | 0.6137 mean
                     	 1.155	0.8025	0.9988	0.9032	 1.508	 1.297	 1.281	 1.117	 2.376	 2.128	 3.077	 3.224	 | 1.797 quantile
                      	 5.008	 3.306	 3.359	 2.178	 3.982	 3.957	 4.032	 3.574	 4.576	 3.667	 5.326	 5.364	 | 5.364 max

train losses      8:	0.5626	0.5198	0.5122	0.4654	0.6418	0.6822	0.5476	0.5921	 1.071	 1.046	 1.309	 1.315	
val losses        8:	0.3562	 0.292	 0.348	0.3246	0.4578	0.4983	0.3849	0.4164	0.7293	0.6814	0.9968	0.9909	 | 0.5397 mean
