train losses      0:	0.5501	0.5678	0.3309	0.3221	0.7121	0.7476	0.4559	0.4621	 1.589	 1.599	  1.46	 1.456	
val losses        0:	0.5097	0.7017	0.4599	 1.133	0.7767	0.6854	0.5454	0.5441	 1.454	 1.415	 1.889	 1.702	 | 0.9847 mean
                     	 1.591	 2.032	 1.162	 1.981	  1.98	 1.913	 1.481	 1.426	 3.983	 3.876	 4.978	 4.915	 | 3.043 quantile
                      	 5.929	 7.705	 3.042	 3.692	 4.434	 3.767	 3.461	 2.872	  7.06	 6.952	 7.916	  8.04	 | 8.04 max

train losses      2:	0.5315	0.5157	0.3581	0.3756	0.6279	0.6488	0.4712	0.4729	 1.531	 1.539	 1.446	 1.433	
val losses        2:	0.4761	0.5912	0.4961	0.4701	0.5443	0.5169	0.4745	0.7339	 1.343	 1.433	  1.85	 1.676	 | 0.8838 mean
                     	 1.464	 1.738	 1.287	 1.226	  1.48	 1.455	 1.375	  1.61	 3.822	 3.948	 4.753	 4.682	 | 2.961 quantile
                      	 5.382	 6.254	 3.215	 2.863	 3.161	 2.704	 3.227	 2.856	 6.046	 7.597	 7.315	 7.696	 | 7.696 max

train losses      4:	0.5259	0.5055	0.4047	0.4523	0.5418	0.5846	0.5129	0.4902	 1.346	 1.364	 1.401	 1.375	
val losses        4:	0.4939	0.5388	0.4641	0.4495	0.4481	0.5215	0.5256	0.4951	 1.116	 1.144	 1.618	 1.594	 | 0.784 mean
                     	 1.393	 1.519	 1.191	 1.199	 1.249	 1.347	 1.422	 1.364	 3.315	 3.343	  4.79	 4.579	 | 2.622 quantile
                      	 4.168	  5.78	 3.395	 2.986	 2.471	 2.565	 3.147	 2.986	 5.416	 5.828	 7.578	 7.604	 | 7.604 max

train losses      6:	0.5273	0.4844	 0.403	0.4155	0.5307	0.5996	0.5114	0.5208	 1.184	 1.197	  1.34	 1.325	
val losses        6:	0.4547	0.4981	0.4373	 0.442	 0.396	0.4936	0.4784	0.4931	0.9474	0.9758	 1.554	 1.534	 | 0.7254 mean
                     	 1.267	 1.409	 1.152	  1.18	  1.12	 1.294	 1.359	 1.368	 2.833	 2.856	 4.507	 4.345	 | 2.398 quantile
                      	 4.184	  4.86	 3.082	 3.088	 2.537	 2.458	 3.113	 2.881	 4.541	 4.904	  7.13	 6.841	 | 7.13 max

train losses      8:	0.5116	0.4475	0.4171	 0.417	0.5113	0.5548	0.5103	0.5569	0.9432	0.9426	 1.248	 1.247	
val losses        8:	0.4515	0.4459	0.4367	0.4405	0.4016	0.5046	0.4754	0.5207	0.7957	0.7913	 1.473	  1.49	 | 0.6856 mean
                     	  1.22	 1.224	 1.155	 1.178	 1.067	 1.229	 1.364	 1.416	  2.09	  2.17	 4.156	 4.125	 | 2.12 quantile
                      	 3.374	 3.521	 3.163	 2.913	 2.449	 2.474	 3.166	 3.196	 3.596	  3.49	 6.314	 6.401	 | 6.401 max

train losses     10:	0.5099	0.4223	0.4103	0.3984	0.5175	0.5148	0.4945	0.5647	0.9748	0.9596	 1.183	 1.183	
val losses       10:	0.4396	0.4154	0.4345	0.4333	0.4323	0.4116	0.4689	0.5246	0.8447	0.8285	 1.413	 1.397	 | 0.6703 mean
                     	 1.167	 1.134	 1.146	 1.165	 1.104	 1.092	 1.359	   1.4	 2.174	  2.12	 4.073	 4.029	 | 2.08 quantile
                      	 3.218	 3.103	 3.432	 2.949	 2.124	 2.185	 3.057	 3.258	 3.561	  3.52	 5.943	 5.894	 | 5.943 max

