,Constant,Linear,Ridge,Tree,RF,Adaboost,Gradboost
LivLongSxD1 [mm],9.290257,7.402912,7.5413,7.372023247898745,6.770161776117235,4.191398964064664,6.718224899654518
LivLongDxD1 [mm],9.340213,7.8077745,7.8449492,8.498685235896858,7.8767295904580505,4.700953949012016,6.938728711759982
AllinSxD1 [mm],5.5899587,5.5889163,5.5546083,5.5452486375967665,5.380486149521917,3.2181574296611064,4.506135785715027
AllinDxD1 [mm],5.689911,5.7452283,5.7085032,5.694012178223241,5.5846760558068755,3.8850999578607377,4.660813042727097
LivLongSxD2 [mm],6.4328327,6.3115396,6.3594785,6.387726032709312,6.1935581863123925,5.091505956472988,5.956248736794603
LivLongDxD2 [mm],6.9527454,6.8753247,6.8009853,6.817524045419096,6.639611907250806,5.929353495872626,6.643086374663223
AllinSxD2 [mm],5.100489,5.1139407,5.081898,5.0776858594260865,4.943346149722487,3.958311950393841,4.270632645722091
AllinDxD2 [mm],4.660684,4.6068897,4.61364,4.637160629082558,4.595373924727365,3.6890458472543033,3.959397812735927
LivLongSxD3 [mm],12.931316,13.366178,13.29843,12.768990033520577,13.184431887382642,9.636787070927376,12.873526534940787
LivLongDxD3 [mm],13.469188,13.863679,13.79885,13.199114560493324,13.729221814140304,9.389141276948264,13.52049131904695
AllinSxD3 [mm],14.60221,14.57482,14.579403,14.13176889797345,13.989960372542217,8.132982156125287,13.544618702401102
AllinDxD3 [mm],14.942913,14.934152,14.938127,14.50306439418087,14.211821587063744,7.826772004455036,14.249974163876132
