,Constant,Linear,Ridge,Tree,RF,Adaboost,Gradboost
LivLongSxD1 [mm],0.56512874,0.5101298,0.50640684,0.5478444346314107,0.4824028149422745,0.4684892439412404,0.46401623993504615
LivLongDxD1 [mm],0.5893672,0.5337882,0.5289492,0.5708473736601754,0.5020469829225839,0.4861329451942629,0.482854889746998
AllinSxD1 [mm],0.3323355,0.33123446,0.33129653,0.33142714304382387,0.3240051504022058,0.32995413413491664,0.32579120996758854
AllinDxD1 [mm],0.3241251,0.32305726,0.32313043,0.32350628707942575,0.31608135012883176,0.32267903730133296,0.31423619403262065
LivLongSxD2 [mm],0.70823234,0.70254946,0.7025018,0.6996622447737201,0.6702593620660835,0.6786627052596946,0.6610226751255719
LivLongDxD2 [mm],0.74861276,0.74257857,0.7426842,0.7403842669512893,0.7088123215670007,0.7191806436866978,0.6989870425715724
AllinSxD2 [mm],0.45993766,0.458983,0.45898694,0.45690791916906465,0.4486085866348444,0.4570684392441206,0.44462701220275225
AllinDxD2 [mm],0.46560386,0.46469292,0.46465018,0.4622708899810113,0.45418160724820794,0.461559007399908,0.44972473257668244
LivLongSxD3 [mm],1.5619465,1.5571958,1.5561876,1.5365189924333615,1.5173204983570432,1.5094592069948352,1.4367353380083572
LivLongDxD3 [mm],1.5766225,1.5709985,1.5702189,1.550164483735536,1.5321319906919817,1.521453775956839,1.4571524646442666
AllinSxD3 [mm],1.4488736,1.4477519,1.4477035,1.3222090987292339,1.2076339672584013,1.135037356558182,1.1210376433371232
AllinDxD3 [mm],1.4507049,1.4497656,1.4496994,1.3238048616799745,1.2091247777278766,1.140326398891394,1.1212290507304388
