,Constant,Linear,Ridge,Tree,RF,Adaboost,Gradboost
LivLongSxD1 [mm],1.7897424697875977,1.5196416139602658,1.5398793399333952,1.7198800107945065,1.468650909290965,1.3862345360812323,1.3683395412474597
LivLongDxD1 [mm],1.859787106513977,1.59631472826004,1.6164217889308927,1.7998914856216555,1.5363669232117754,1.446824297909902,1.4342257366482851
AllinSxD1 [mm],0.8799585700035095,0.8730966120958323,0.873543295264244,0.8742299488736809,0.8534887267199156,0.8704280619192204,0.8583275073998176
AllinDxD1 [mm],0.8599109649658203,0.8548714518547057,0.8548714995384202,0.8553419438503915,0.8357726755695043,0.8585760671402687,0.8364746006349478
LivLongSxD2 [mm],2.0628325939178467,2.0419198632240265,2.0428386807441705,2.0335841685727756,1.9497004970197351,1.9580294710625583,1.8942557938505917
LivLongDxD2 [mm],2.147254467010498,2.122623777389526,2.1266106963157654,2.1279516334382853,2.039719931728765,2.054942215632076,1.9894636832990316
AllinSxD2 [mm],1.2704893350601196,1.2668234109878533,1.267641842365265,1.255107127081649,1.2376506793643345,1.2586953836097432,1.2115997423166038
AllinDxD2 [mm],1.2993156909942627,1.2949864923953995,1.2968436241149885,1.2828392087928078,1.2670132837660977,1.2806200312888991,1.2413154581695187
LivLongSxD3 [mm],4.4613165855407715,4.441353750228879,4.437824940681451,4.371042911758835,4.332073221419174,4.254706919197641,4.069474620048124
LivLongDxD3 [mm],4.480811595916748,4.459067749977112,4.458833003044128,4.385918189264632,4.347859783670062,4.274844255827052,4.091086704753303
AllinSxD3 [mm],3.9277901649475098,3.9241725564002987,3.923567128181457,3.6489869192037747,3.363712376196923,3.1648977205924576,3.058865557037134
AllinDxD3 [mm],3.917086124420166,3.919774138927459,3.919662666320797,3.6191523916889508,3.3572079087134616,3.19159158439468,3.0952365038686263
